E3,26/04/14,Oxford,Accrington
E3,26/04/14,Plymouth,Hartlepool
E3,26/04/14,Rochdale,Cheltenham
E3,26/04/14,AFC Wimbledon,Morecambe
E3,26/04/14,Wycombe,Bristol Rvs
E3,26/04/14,York,Newport County
E3,27/04/14,Burton,Chesterfield
E3,03/05/14,Accrington,AFC Wimbledon
E3,03/05/14,Bristol Rvs,Mansfield
E3,03/05/14,Cheltenham,Dag and Red
E3,03/05/14,Chesterfield,Fleetwood Town
E3,03/05/14,Hartlepool,Exeter
E3,03/05/14,Morecambe,Bury
E3,03/05/14,Newport County,Rochdale
E3,03/05/14,Northampton,Oxford
E3,03/05/14,Portsmouth,Plymouth
E3,03/05/14,Scunthorpe,York
E3,03/05/14,Southend,Burton
E3,03/05/14,Torquay,Wycombe
EC,18/04/14,Tamworth,Hereford
EC,19/04/14,Chester,Wrexham
EC,19/04/14,Welling United,Luton
EC,19/04/14,Forest Green,Woking
EC,19/04/14,Halifax,Macclesfield
EC,19/04/14,Nuneaton Town,Barnet
EC,21/04/14,Woking,Aldershot
EC,21/04/14,Cambridge,Chester
EC,21/04/14,Dartford,Tamworth
EC,21/04/14,Grimsby,Hyde United
EC,21/04/14,Hereford,Alfreton Town
EC,21/04/14,Kidderminster,Nuneaton Town
EC,21/04/14,Luton,Forest Green
EC,21/04/14,Macclesfield,Gateshead
EC,21/04/14,Salisbury,Welling United
EC,21/04/14,Southport,Halifax
EC,21/04/14,Wrexham,Lincoln
EC,21/04/14,Barnet,Braintree Town
EC,26/04/14,Aldershot,Hereford
EC,26/04/14,Alfreton Town,Macclesfield
EC,26/04/14,Braintree Town,Grimsby
EC,26/04/14,Chester,Salisbury
EC,26/04/14,Forest Green,Wrexham
EC,26/04/14,Gateshead,Cambridge
EC,26/04/14,Halifax,Kidderminster
EC,26/04/14,Hyde United,Luton
EC,26/04/14,Lincoln,Barnet
EC,26/04/14,Nuneaton Town,Dartford
EC,26/04/14,Tamworth,Woking
EC,26/04/14,Welling United,Southport
