E1,12/01/2016,Sheffield Wed,Bolton,,,,,,,,,
E1,12/01/2016,Wolves,Fulham,,,,,,,,,
E0,13/01/2016,Chelsea,West Brom,,,,,,,,,
E0,13/01/2016,Manchester City,Everton,,,,,,,,,
E0,13/01/2016,Newcastle,Manchester Utd,,,,,,,,,
E0,13/01/2016,Southampton,Watford,,,,,,,,,
E0,13/01/2016,Stoke,Norwich,,,,,,,,,
E0,13/01/2016,Tottenham,Leicester,,,,,,,,,
E0,16/01/2016,Aston Villa,Leicester,,,,,,,,,
E0,16/01/2016,Bournemouth,Norwich,,,,,,,,,
E0,16/01/2016,Chelsea,Everton,,,,,,,,,
E0,16/01/2016,Liverpool,Manchester Utd,,,,,,,,,
E0,16/01/2016,Manchester City,Crystal Palace,,,,,,,,,
E0,16/01/2016,Newcastle,West Ham,,,,,,,,,
E0,16/01/2016,Southampton,West Brom,,,,,,,,,
E0,16/01/2016,Stoke,Arsenal,,,,,,,,,
E0,16/01/2016,Swansea,Watford,,,,,,,,,
E0,16/01/2016,Tottenham,Sunderland,,,,,,,,,
E1,16/01/2016,Blackburn,Brighton,,,,,,,,,
E1,16/01/2016,Brentford,Burnley,,,,,,,,,
E1,16/01/2016,Bristol City,Middlesbrough,,,,,,,,,
E1,16/01/2016,Derby,Birmingham,,,,,,,,,
E1,16/01/2016,Huddersfield,Fulham,,,,,,,,,
E1,16/01/2016,Hull,Charlton,,,,,,,,,
E1,16/01/2016,Ipswich,Preston,,,,,,,,,
E1,16/01/2016,Milton Keynes,Reading,,,,,,,,,
E1,16/01/2016,Nottingham,Bolton,,,,,,,,,
E1,16/01/2016,Rotherham,QPR,,,,,,,,,
E1,16/01/2016,Sheffield Wed,Leeds,,,,,,,,,
E1,16/01/2016,Wolves,Cardiff,,,,,,,,,
E2,16/01/2016,Blackpool,Scunthorpe,,,,,,,,,
E2,16/01/2016,Bradford,Oldham,,,,,,,,,
E2,16/01/2016,Bury,Walsall,,,,,,,,,
E2,16/01/2016,Colchester,Sheffield Utd,,,,,,,,,
E2,16/01/2016,Coventry,Burton,,,,,,,,,
E2,16/01/2016,Doncaster,Gillingham FC,,,,,,,,,
E2,16/01/2016,Millwall,Port Vale,,,,,,,,,
E2,16/01/2016,Peterborough,Southend,,,,,,,,,
E2,16/01/2016,Rochdale,Fleetwood,,,,,,,,,
E2,16/01/2016,Shrewsbury,Barnsley,,,,,,,,,
E2,16/01/2016,Swindon,Crewe,,,,,,,,,
E2,16/01/2016,Wigan,Chesterfield,,,,,,,,,
E3,16/01/2016,Accrington,Portsmouth,,,,,,,,,
E3,16/01/2016,Barnet,Carlisle,,,,,,,,,
E3,16/01/2016,Crawley Town,Notts County,,,,,,,,,
E3,16/01/2016,Dagenham & Red.,Northampton,,,,,,,,,
E3,16/01/2016,Hartlepool,Wycombe,,,,,,,,,
E3,16/01/2016,Leyton Orient,Exeter,,,,,,,,,
E3,16/01/2016,Luton,Cambridge Utd,,,,,,,,,
E3,16/01/2016,Morecambe,Yeovil,,,,,,,,,
E3,16/01/2016,Oxford Utd,Bristol Rovers,,,,,,,,,
E3,16/01/2016,Plymouth,Stevenage,,,,,,,,,
E3,16/01/2016,Wimbledon,Mansfield,,,,,,,,,
E3,16/01/2016,York,Newport,,,,,,,,,
SC0,16/01/2016,Dundee Utd,Celtic,,,,,,,,,
SC0,16/01/2016,Hearts,Motherwell,,,,,,,,,
SC0,16/01/2016,Kilmarnock,Inverness,,,,,,,,,
SC0,16/01/2016,Partick,Dundee FC,,,,,,,,,
SC0,16/01/2016,Ross County,Aberdeen,,,,,,,,,
SC0,16/01/2016,St. Johnstone,Hamilton,,,,,,,,,
E0,23/01/2016,Arsenal,Chelsea,,,,,,,,,
E0,23/01/2016,Crystal Palace,Tottenham,,,,,,,,,
E0,23/01/2016,Everton,Swansea,,,,,,,,,
E0,23/01/2016,Leicester,Stoke,,,,,,,,,
E0,23/01/2016,Manchester Utd,Southampton,,,,,,,,,
E0,23/01/2016,Norwich,Liverpool,,,,,,,,,
E0,23/01/2016,Sunderland,Bournemouth,,,,,,,,,
E0,23/01/2016,Watford,Newcastle,,,,,,,,,
E0,23/01/2016,West Brom,Aston Villa,,,,,,,,,
E0,23/01/2016,West Ham,Manchester City,,,,,,,,,
E1,23/01/2016,Birmingham,Ipswich,,,,,,,,,
E1,23/01/2016,Bolton,Milton Keynes,,,,,,,,,
E1,23/01/2016,Brighton,Huddersfield,,,,,,,,,
E1,23/01/2016,Burnley,Derby,,,,,,,,,
E1,23/01/2016,Cardiff,Rotherham,,,,,,,,,
E1,23/01/2016,Charlton,Blackburn,,,,,,,,,
E1,23/01/2016,Fulham,Hull,,,,,,,,,
